glyph_name,ps_name,sort_final,sort_design,USV,bcp47tags,Feat
onesixteenth-oriya,uni0B75,333,427,0B75,,
oneeighth-oriya,uni0B76,334,428,0B76,,
threesixteenths-oriya,uni0B77,335,429,0B77,,
EnQuad,uni2000,336,430,2000,,
EmQuad,uni2001,337,431,2001,,
EnSpace,uni2002,338,432,2002,,
EmSpace,uni2003,339,433,2003,,
ThreePerEmSpace,uni2004,340,434,2004,,
FourPerEmSpace,uni2005,341,435,2005,,
SixPerEmSpace,uni2006,342,436,2006,,
FigureSpace,uni2007,343,437,2007,,
PuncSpace,uni2008,344,438,2008,,
ThinSpace,uni2009,345,439,2009,,
HairSpace,uni200A,346,440,200A,,
zerowidthspace,uni200B,347,441,200B,,
zerowidthnonjoiner,uni200C,348,442,200C,,
zerowidthjoiner,uni200D,349,443,200D,,
hyphentwo,uni2010,350,444,2010,,
nbhyphen,uni2011,351,445,2011,,
figuredash,figuredash,352,446,2012,,
horizontalbar,uni2015,353,450,2015,,
hyphenationpoint,uni2027,354,463,2027,,
lineseparator,uni2028,355,464,2028,,
paragraphseparator,uni2029,356,465,2029,,
nnbsp,uni202F,357,466,202F,,
wj,uni2060,358,471,2060,,
zerosuperior,uni2070,359,472,2070,,
foursuperior,uni2074,360,473,2074,,
fivesuperior,uni2075,361,474,2075,,
sixsuperior,uni2076,362,475,2076,,
sevensuperior,uni2077,363,476,2077,,
eightsuperior,uni2078,364,477,2078,,
ninesuperior,uni2079,365,478,2079,,
hyphensuperior,uni207B,366,479,207B,,
parenleftsuperior,uni207D,367,480,207D,,
parenrightsuperior,uni207E,368,481,207E,,
rs,uni20A8,369,482,20A8,,
Euro,Euro,370,483,20AC,,
rupeeIndian,uni20B9,371,484,20B9,,
minus,minus,372,487,2212,,
divisionslash,uni2215,373,488,2215,,
halfbracketlefttop,uni2E22,374,490,2E22,,
halfbracketrighttop,uni2E23,375,491,2E23,,
halfbracketleftbottom,uni2E24,376,492,2E24,,
halfbracketrightbottom,uni2E25,377,493,2E25,,
saltillo,uniA78C,378,494,A78C,,
VS1,uniFE00,379,497,FE00,,
VS2,uniFE01,380,498,FE01,,
VS3,uniFE02,381,499,FE02,,
VS4,uniFE03,382,500,FE03,,
VS5,uniFE04,383,501,FE04,,
VS6,uniFE05,384,502,FE05,,
VS7,uniFE06,385,503,FE06,,
VS8,uniFE07,386,504,FE07,,
VS9,uniFE08,387,505,FE08,,
VS10,uniFE09,388,506,FE09,,
VS11,uniFE0A,389,507,FE0A,,
VS12,uniFE0B,390,508,FE0B,,
VS13,uniFE0C,391,509,FE0C,,
VS14,uniFE0D,392,510,FE0D,,
VS15,uniFE0E,393,511,FE0E,,
VS16,uniFE0F,394,512,FE0F,,
zwnbsp,uniFEFF,395,513,FEFF,,
ObjectReplChar,uniFFFC,396,514,FFFC,,
ReplChar,uniFFFD,397,515,FFFD,,
plus.latn,plus.latn,398,15,,,
period.latn,period.latn,399,19,,,
question.latn,question.latn,400,37,,,
ka-oriya.base,uni0B15.base,401,243,,,
ka-oriya.below,uni0B15.below,402,244,,,
ka-oriya.single,uni0B15.single,403,245,,,
kha-oriya.base,uni0B16.base,404,247,,,
kha-oriya.below,uni0B16.below,405,248,,,
kha-oriya.single,uni0B16.single,406,249,,,
ga-oriya.base,uni0B17.base,407,251,,,
ga-oriya.below,uni0B17.below,408,252,,,
ga-oriya.single,uni0B17.single,409,253,,,
gha-oriya.base,uni0B18.base,410,255,,,
gha-oriya.below,uni0B18.below,411,256,,,
gha-oriya.single,uni0B18.single,412,257,,,
nga-oriya.base,uni0B19.base,413,259,,,
nga-oriya.below,uni0B19.below,414,260,,,
nga-oriya.single,uni0B19.single,415,261,,,
ca-oriya.base,uni0B1A.base,416,263,,,
ca-oriya.below,uni0B1A.below,417,264,,,
ca-oriya.single,uni0B1A.single,418,265,,,
cha-oriya.base,uni0B1B.base,419,267,,,
cha-oriya.below,uni0B1B.below,420,268,,,
cha-oriya.single,uni0B1B.single,421,269,,,
ja-oriya.base,uni0B1C.base,422,271,,,
ja-oriya.below,uni0B1C.below,423,272,,,
ja-oriya.single,uni0B1C.single,424,273,,,
jha-oriya.base,uni0B1D.base,425,275,,,
jha-oriya.below,uni0B1D.below,426,276,,,
jha-oriya.single,uni0B1D.single,427,277,,,
nya-oriya.base,uni0B1E.base,428,279,,,
tta-oriya.base,uni0B1F.base,429,281,,,
tta-oriya.below,uni0B1F.below,430,282,,,
